score,time,label,n,contrast,subject
0.05029645683996699,0.45,t3_s1,3753,wordfreq,04
0.0344310230677791,0.46,t3_s1,3753,wordfreq,04
0.05602603719766665,0.47,t3_s1,3753,wordfreq,04
0.05670963853039835,0.48,t3_s1,3753,wordfreq,04
0.046808311686203176,0.49,t3_s1,3753,wordfreq,04
0.03212952017268068,0.5,t3_s1,3753,wordfreq,04
-0.004399371241443762,0.51,t3_s1,3753,wordfreq,04
0.00920979556231527,0.52,t3_s1,3753,wordfreq,04
0.009346369313949863,0.53,t3_s1,3753,wordfreq,04
0.005687671445345263,0.54,t3_s1,3753,wordfreq,04
0.005797967510612588,0.55,t3_s1,3753,wordfreq,04
0.015810747739463046,0.56,t3_s1,3753,wordfreq,04
0.027935342642913082,0.57,t3_s1,3753,wordfreq,04
0.017985078650784088,0.58,t3_s1,3753,wordfreq,04
0.017144231048293254,0.59,t3_s1,3753,wordfreq,04
-0.004689075133859188,0.6,t3_s1,3753,wordfreq,04
-0.019681936121416197,-0.2,t0_s0,1794,voiced,04
-0.016813490615472007,-0.19,t0_s0,1794,voiced,04
0.030321671422548775,-0.18,t0_s0,1794,voiced,04
0.002320780205586489,-0.17,t0_s0,1794,voiced,04
-0.02975172516466273,-0.16,t0_s0,1794,voiced,04
-0.008654413644069558,-0.15,t0_s0,1794,voiced,04
0.014831095491408326,-0.14,t0_s0,1794,voiced,04
0.00828061428380167,-0.13,t0_s0,1794,voiced,04
0.019188272397534185,-0.12,t0_s0,1794,voiced,04
-0.026511218668812796,-0.11,t0_s0,1794,voiced,04
-0.04946901222746359,-0.1,t0_s0,1794,voiced,04
-0.03822479042133131,-0.09,t0_s0,1794,voiced,04
-0.02528225573158305,-0.08,t0_s0,1794,voiced,04
0.0012914788994048097,-0.07,t0_s0,1794,voiced,04
-0.010978534854368423,-0.06,t0_s0,1794,voiced,04
-0.029740535162114688,-0.05,t0_s0,1794,voiced,04
-0.0412561609256145,-0.04,t0_s0,1794,voiced,04
